AE.01.101	Abu Dhabi Municipality
AF.13.110	Bagrāmī
AF.13.109	Chahār Āsyāb
AF.13.102	Deh-e Sabz
AF.13.115	Farzah
AF.13.113	Gul Darah
AF.13.106	Istālif
AF.13.104	Kalakān
AF.13.111	Khāk-e Jabār
AF.13.103	Mīr Bachah Kōṯ
AF.13.108	Paghmān
AF.13.105	Qarah Bāgh
AF.13.107	Shakar Darah
AF.14.206	Alah Sāy
AF.14.203	Kōh Band
AF.14.201	Maḩmūd-e Rāqī
AF.14.204	Nijrāb
AF.14.205	Tagāb
AF.17.506	Azrah
AF.17.503	Barakī Barak
AF.17.502	Charkh
AF.17.504	Khōshī
AF.17.505	Muḩammad Āghah
AF.17.501	Pul-e ‘Alam
AF.18.810	Achīn
AF.18.817	Batī Kōṯ
AF.18.806	Chaparhār
AF.18.820	Darah-ye Nūr
AF.18.808	Deh Bālā
AF.18.816	Gōshtah
AF.18.801	Jalālābād
AF.18.818	Kāmah
AF.18.805	Khūgyāṉī
AF.18.819	Kūz Kunaṟ
AF.18.814	Mohmand Darah
AF.18.807	Pachīr wa Āgām
AF.18.804	Shērzād
AF.18.802	Surkh Rōd
AF.19.2203	Chahār Burjak
AF.19.2205	Khāsh Rōd
AF.19.2201	Zaranj
AF.23.2404	Arghandāb
AF.23.2412	Arghistān
AF.23.2406	Ghōrak
AF.23.2405	Khākrēz
AF.23.2407	Maywand
AF.23.2414	Myā Neshīn
AF.23.2415	Nēsh
AF.23.2410	Shōrābak
AF.23.2411	Spīn Bōldak
AF.23.2416	Zhaṟêy
AF.24.1405	‘Alīābād
AF.24.1407	Dasht-e Archī
AF.24.1402	Imām Şāḩib
AF.24.1406	Khānābād
AF.26.1202	Bangī
AF.26.1209	Chāh Āb
AF.26.1204	Chāl
AF.26.1211	Darqad
AF.26.1214	Dasht-e Qal‘ah
AF.26.1206	Farkhār
AF.26.1207	Kalafgān
AF.26.1212	Khwājah Ghār
AF.26.1217	Namak Āb
AF.26.1208	Rustāq
AF.26.1201	Tāluqān
AF.26.1210	Yangī Qal‘ah
AF.27.409	Jaghatū
AF.27.402	Jalrayz
AF.27.401	Maīdān Shahr
AF.27.407	Sayyidābād
AF.28.2503	Arghandāb
AF.28.2508	Aṯghar
AF.28.2504	Dāychōpān
AF.28.2510	Kākar
AF.28.2505	Mīzān
AF.28.2502	Shāh Jōy
AF.28.2507	Shīnkaī
AF.28.2506	Tarnêk wa Jaldak
AF.29.2903	Ḏīlah
AF.29.2910	Giyān
AF.29.2906	Gōmal
AF.29.2916	Jānī Khēl
AF.29.2915	Mutā Khān
AF.29.2913	Nīkêh
AF.29.2907	Ōmnah
AF.29.2911	Urgun District
AF.29.2908	Saṟōbī
AF.29.2901	Sharan
AF.29.2918	Yaḩyá Khēl
AF.29.2919	Yōsuf Khēl
AF.29.2902	Zarghūn Shahr
AF.29.2912	Zīṟūk
AF.30.1608	Chimtāl
AF.30.1612	Dehdādī
AF.30.1605	Dowlatābād
AF.30.1613	Kaldār
AF.30.1614	Khulm
AF.30.1610	Kishindeh
AF.30.1604	Shōr Tepah
AF.31.1706	Āqchah
AF.31.1703	Darzāb
AF.31.1708	Faīẕābād
AF.31.1709	Khamyāb
AF.31.1710	Khānaqāh
AF.31.1702	Khwājah Dū Kōh
AF.31.1707	Mardīān
AF.31.1704	Mingajik
AF.31.1705	Qarqīn
AF.31.1701	Shibirghān
AF.32.1501	Aībak
AF.32.1504	Darah-ye Şūf-e Pā’īn
AF.32.1506	Khuram wa Sār Bāgh
AF.32.1505	Rūy Dūāb
AF.33.3104	Balkhāb
AF.33.3103	Kōhistānāt
AF.33.3102	Sangchārak
AF.33.3101	Sar-e Pul
AF.33.3106	Şayād
AF.33.3105	Sōzmah Qal‘ah
AF.34.1001	Asadābād
AF.34.1003	Bar Kunaṟ
AF.34.1009	Chapah Darah
AF.34.1012	Tsowkêy
AF.34.1004	Dāngām
AF.34.1010	Darah-ye Pēch
AF.34.1011	Narang
AF.34.1005	Nāṟay
AF.34.1013	Nūrgal
AF.34.1007	Shīgal wa Shêltan
AF.34.1008	Wuṯahpūr
AF.35.903	‘Alīngār
AF.35.904	Dowlat Shāh
AF.35.901	Mehtar Lām
AF.35.902	Qarghah’ī
AF.36.705	Aḩmadābād
AF.36.708	Tsamkanī
AF.36.707	Ḏanḏ Paṯān
AF.36.701	Gardez
AF.36.711	Jājī
AF.36.706	Jānī Khēl
AF.36.710	Sayyid Karam
AF.36.703	Shwāk
AF.36.702	Zurmat
AF.37.3211	Gurbuz
AF.37.3201	Khōst
AF.37.3205	Mūsá Khēl
AF.37.3209	Şabarī
AF.37.3213	Shamul
AF.37.3204	Spērah
AF.37.3207	Têrayzaī
AF.38.3005	Barg-e Matāl
AF.38.3004	Mandōl
AF.38.3001	Pārūn
AF.39.2603	Khāş Uruzgān
AF.39.2601	Tarīn Kōṯ
AF.40.308	Bagrām
AF.40.301	Chārīkār
AF.40.302	Jabal us Sarāj
AF.40.309	Kōh-e Şāfī
AF.40.303	Sālang
AF.40.310	Sayyid Khēl
AF.40.306	Shaykh ‘Alī
AF.40.304	Shīnwārī
AF.40.305	Siyāhgird Ghōrband
AF.41.3406	Gaytī
AF.41.3402	Gīzāb
AF.41.3403	Ishtarlay
AF.41.3404	Kajrān
AF.41.3405	Khadīr
AF.41.3401	Nīlī
AF.42.3306	‘Unābah
AF.42.3301	Bāzārak
AF.42.3302	Darah-e Hazara
AF.42.3303	Khinj
AF.42.3304	Parīān
AF.13.101	Kabul
AF.24.1401	Kunduz
AF.06.2101	Farah
AF.05.2801	Bamyan
AF.03.1301	Puli Khumri
AF.13.112	Surobi
AF.28.2501	Qalāt
AF.01.1104	Kuran Wa Munjan
AF.05.2802	Shibar
AF.10.2311	Garmsīr
AF.27.405	Day Mirdad
AF.24.1404	Chahar Dara
AF.34.1015	Sirkanay
AF.27.404	Markazi Bihsud
AF.30.1601	Mazār-e Sharīf
AF.11.2001	Herat District
AF.10.2306	Naw Zad
AF.23.2401	Kandahar District
AF.30.1606	Balkh District
AL.40.10944368	Bashkia Berat
AL.40.10944369	Bashkia Kuçovë
AL.40.10944370	Bashkia Poliçan
AL.40.10944371	Bashkia Skrapar
AL.40.10944372	Bashkia Dimal
AL.41.10944373	Bashkia Bulqizë
AL.41.10944374	Bashkia Dibër
AL.41.10944375	Bashkia Klos
AL.41.10944376	Bashkia Mat
AL.42.10944377	Bashkia Durrës
AL.42.10944378	Bashkia Krujë
AL.42.10944379	Bashkia Shijak
AL.43.10944380	Bashkia Elbasan
AL.43.10944381	Bashkia Belsh
AL.43.10944382	Bashkia Cërrik
AL.43.10944383	Bashkia Gramsh
AL.43.10944384	Bashkia Librazhd
AL.43.10944385	Bashkia Peqin
AL.43.10944386	Bashkia Prrenjas
AL.44.10944387	Bashkia Divjakë
AL.44.10944388	Bashkia Fier
AL.44.10944389	Bashkia Lushnje
AL.44.10944390	Bashkia Mallakastër
AL.44.10944391	Bashkia Patos
AL.44.10944392	Bashkia Roskovec
AL.45.10944393	Bashkia Dropull
AL.45.10944394	Bashkia Gjirokastër
AL.45.10944395	Bashkia Kelcyrë
AL.45.10944396	Bashkia Libohovë
AL.45.10944397	Bashkia Memaliaj
AL.45.10944398	Bashkia Përmet
AL.45.10944399	Bashkia Tepelenë
AL.46.10944400	Bashkia Devoll
AL.46.10944401	Bashkia Kolonjë
AL.46.10944402	Bashkia Korçë
AL.46.10944403	Bashkia Maliq
AL.46.10944404	Bashkia Pogradec
AL.46.10944405	Bashkia Pustec
AL.47.10944406	Bashkia Has
AL.47.10944407	Bashkia Kukës
AL.47.10944408	Bashkia Tropojë
AL.48.10944409	Bashkia Kurbin
AL.48.10944410	Bashkia Lezhë
AL.48.10944411	Bashkia Mirditë
AL.49.10944412	Bashkia Fushë Arrës
AL.49.10944413	Bashkia Malësi e Madhe
AL.49.10944414	Bashkia Pukë
AL.49.10944415	Bashkia Shkodër
AL.49.10944416	Bashkia Vau i Dejës
AL.50.10944417	Bashkia Kamëz
AL.50.10944418	Bashkia Kavajë
AL.50.10944419	Bashkia Rrogozhinë
AL.50.10944420	Bashkia Tiranë
AL.50.10944421	Bashkia Vorë
AL.51.10944422	Bashkia Delvinë
AL.51.10944423	Bashkia Finiq
AL.51.10944424	Bashkia Himarë
AL.51.10944425	Bashkia Konispol
AL.51.10944426	Bashkia Sarandë
AL.51.10944427	Bashkia Selenicë
AL.51.10944428	Bashkia Vlorë
AM.11.616205	Arabkir
AM.08.13133004	Kapan Municipality
AM.08.13133005	Goris Municipality
AM.08.13133006	Meghri Municipality
AM.08.13133007	Sisian Municipality
AM.08.13133008	Kajaran Municipality
AM.08.13133009	Tatev Municipality
AM.08.13133010	Tegh Municipality
AM.10.13133019	Yeghegnadzor Municipality
AM.10.13133022	Jermuk Municipality
AM.10.13133023	Vayk Municipality
AM.10.13133025	Areni Municipality
AM.10.13133026	Yeghegis Municipality
AM.02.13133028	Artashat Municipality
AM.02.13133029	Ararat Municipality
AM.02.13133030	Masis Municipality
AM.02.13133031	Vedi Municipality
AM.02.13133032	Verin Dvin Municipality
AM.04.13156120	Gavar Municipality
AM.04.13156121	Chambarak Municipality
AM.04.13156122	Martuni Municipality
AM.04.13156123	Sevan Municipality
AM.04.13156124	Vardenis Municipality
AM.09.13156180	Dilijan Municipality
AM.09.13156181	Ijevan Municipality
AM.09.13156182	Berd Municipality
AM.09.13156183	Noyemberyan Municipality
AM.06.13156275	Alaverdi Municipality
AM.06.13156276	Tumanyan Municipality
AM.06.13156277	Pambak Municipality
AM.06.13156278	Lermontovo Municipality
AM.06.13156279	Fioletovo Municipality
AM.06.13156280	Vanadzor Municipality
AM.06.13156281	Spitak Municipality
AM.06.13156282	Stepanavan Municipality
AM.06.13156283	Tashir Municipality
AM.06.13156284	Gyulagarak Municipality
AM.06.13156285	Lori Berd Municipality
AM.07.13156473	Amasia Municipality
AM.07.13156474	Ashotsk Municipality
AM.07.13156475	Gyumri Municipality
AM.07.13156476	Akhuryan Municipality
AM.07.13156477	Artik Municipality
AM.07.13156478	Ani Municipality
AM.01.13156510	Tsaghkahovit Municipality
AM.01.13156511	Alagyaz Municipality
AM.01.13156512	Aparan Municipality
AM.01.13156513	Ashtarak Municipality
AM.01.13156514	Talin Municipality
AM.01.13156515	Arevut Municipality
AM.01.13156516	Metsadzor Municipality
AM.01.13156517	Shamiram Municipality
AM.05.13156540	Nairi Municipality
AM.05.13156542	Nor Hachn Municipality
AM.05.13156543	Arzni Municipality
AM.05.13156544	Abovyan Municipality
AM.05.13156545	Jrvezh Municipality
AM.05.13156546	Garni Municipality
AM.05.13156547	Byureghavan Municipality
AM.05.13156548	Akunk Municipality
AM.05.13156549	Charentsavan Municipality
AM.05.13156550	Hrazdan Municipality
AM.05.13156551	Tsaghkadzor Municipality
AM.03.13156552	Ferik Municipality
AM.03.13156553	Vagharshapat Municipality
AM.03.13156554	Parakar Municipality
AM.03.13156555	Khoy Municipality
AM.03.13156556	Araks Municipality
AM.03.13156557	Metsamor Municipality
AM.03.13156558	Armavir Municipality
AM.03.13156559	Baghramyan Municipality
AM.11.13156594	Ajapnyak
AM.11.13156596	Davtashen
AM.11.13156597	Erebuni
AM.11.13156601	Nork-Marash
AM.11.13156602	Nor Nork
AM.11.13156604	Shengavit
AO.17.145775	Chitato
AO.14.876125	Cameia
AO.12.2239859	Malanje Municipality
AO.05.2240384	Lucala
AO.20.2240445	Luanda Municipality
AO.03.2240660	Cacongo
AO.05.2242801	Cambambe
AO.19.2243911	Ambriz
AO.08.3345667	Ucuma
AO.08.3345909	Chinjenje
AO.06.3346558	Quilenda
AO.06.3346659	Porto Amboim
AO.12.3347614	Luquembo
AO.09.3347760	Lubango
AO.08.3347879	Londuimbali
AO.06.3347989	Libolo
AO.07.3348986	Cuvelai
AO.07.3349237	Cuanhama
AO.09.3349996	Chibia
AO.13.3351646	Bibala
AO.01.3351661	Benguela
AR.01.06882	Partido de Zárate
AR.08.30113	Departamento de Villaguay
AR.01.06861	Partido de Vicente López
AR.03.22168	Veinticinco de Mayo
AR.14.54119	Departamento de Veinticinco de Mayo
AR.08.30098	Departamento de Uruguay
AR.01.06840	Partido de Tres de Febrero
AR.01.06812	Partido de Tordillo
AR.01.06805	Partido de Tigre
AR.03.22161	Departamento de Tapenagá
AR.01.06791	Partido de Tandil
AR.08.30091	Departamento de Tala
AR.01.06784	Partido de Suipacha
AR.06.18175	Departamento de Sauce
AR.03.22154	Departamento de Sargento Cabral
AR.01.06778	Partido de San Vicente
AR.06.18168	Departamento de Santo Tomé
AR.06.18161	Departamento de San Roque
AR.01.06770	Partido de San Pedro
AR.14.54112	Departamento de San Pedro
AR.06.18154	Departamento de San Miguel
AR.06.18147	Departamento de San Martín
AR.06.18140	Departamento de San Luis del Palmar
AR.21.82098	Departamento de San Javier
AR.14.54105	Departamento de San Javier
AR.01.06756	Partido de San Isidro
AR.14.54098	Departamento de San Ignacio
AR.03.22140	Departamento de San Fernando
AR.06.18133	Departamento de San Cosme
AR.01.06742	Partido de San Cayetano
AR.01.06735	San Antonio de Areco
AR.01.06728	Partido de San Andrés de Giles
AR.01.06707	Partido de Saladillo
AR.06.18126	Departamento de Saladas
AR.01.06693	Partido de Roque Pérez
AR.01.06672	Partido de Rauch
AR.01.06658	Partido de Quilmes
AR.03.22126	Departamento del Primero de Mayo
AR.03.22119	Departamento de Presidencia de la Plaza
AR.09.34056	Departamento de Pirané
AR.09.34049	Departamento de Pilcomayo
AR.01.06638	Partido de Pilar
AR.09.34042	Departamento de Pilagás
AR.01.06630	Partido de Pila
AR.09.34035	Departamento de Patiño
AR.06.18119	Departamento de Paso de los Libres
AR.08.30084	Departamento de Paraná
AR.14.54091	Departamento de Oberá
AR.08.30077	Departamento de Nogoyá
AR.01.06581	Partido de Necochea
AR.01.06574	Partido de Navarro
AR.01.06568	Partido de Morón
AR.01.06560	Partido de Moreno
AR.06.18112	Departamento de Monte Caseros
AR.14.54084	Departamento de Montecarlo
AR.01.06547	Partido de Monte
AR.01.06539	Partido de Merlo
AR.01.06532	Partido de Mercedes
AR.06.18105	Departamento de Mercedes
AR.06.18098	Departamento de Mburucuyá
AR.01.06427	Partido de La Matanza
AR.01.06648	Partido de Presidente Perón
AR.01.06644	Partido de Pinamar
AR.01.06525	Partido de Marcos Paz
AR.01.06518	Partido de Mar Chiquita
AR.01.06511	Partido de Maipú
AR.01.06505	Partido de Magdalena
AR.01.06497	Partido de Luján
AR.01.06490	Partido de Lomas de Zamora
AR.01.06483	Partido de Lobos
AR.01.06476	Partido de Lobería
AR.03.22084	Departamento de Libertador General San Martín
AR.14.54077	Departamento de Libertador General San Martín
AR.03.22077	Departamento de Libertad
AR.14.54070	Departamento de Leandro N. Alem
AR.06.18091	Departamento de Lavalle
AR.01.06455	Partido de Las Flores
AR.01.06441	Partido de La Plata
AR.08.30070	Departamento de La Paz
AR.01.06434	Partido de Lanús
AR.09.34021	Departamento de Laishí
AR.01.06084	Partido de Benito Juárez
AR.01.06412	Partido de José C. Paz
AR.06.18084	Departamento de Ituzaingó
AR.06.18077	Departamento de Itatí
AR.01.06655	Partido de Punta Indio
AR.14.54063	Departamento de Iguazú
AR.14.54056	Departamento de Guaraní
AR.08.30056	Departamento de Gualeguaychú
AR.08.30049	Departamento de Gualeguay
AR.06.18070	Departamento de Goya
AR.01.06371	Partido de General San Martín
AR.01.06364	Partido de General Rodríguez
AR.01.06357	Partido de General Pueyrredón
AR.01.06343	Partido de General Paz
AR.06.18063	Departamento de General Paz
AR.21.82049	General Obligado Department
AR.14.54049	Departamento de General Manuel Belgrano
AR.01.06336	Partido de General Lavalle
AR.01.06329	Partido de General Las Heras
AR.01.06315	Partido de General Madariaga
AR.01.06308	Partido de General Guido
AR.03.22056	Departamento de General Donovan
AR.01.06301	Partido de General Belgrano
AR.06.18056	Departamento de General Alvear
AR.01.06280	Partido de General Alvarado
AR.09.34014	Departamento de Formosa
AR.01.06274	Partido de Florencio Varela
AR.08.30042	Departamento de Feliciano
AR.08.30028	Departamento de Federación
AR.01.06266	Partido de Exaltación de la Cruz
AR.06.18049	Departamento de Esquina
AR.01.06252	Partido de Escobar
AR.01.06245	Partido de Ensenada
AR.06.18042	Departamento de Empedrado
AR.14.54042	Departamento de Eldorado
AR.01.06238	Partido de Dolores
AR.06.18035	Departamento de Curuzú Cuatiá
AR.08.30015	Departamento de Concordia
AR.06.18028	Departamento de Concepción
AR.14.54035	Departamento de Concepción de la Sierra
AR.08.30008	Departamento de Colón
AR.01.06224	Partido de Chivilcoy
AR.01.06218	Partido de Chascomús
AR.01.06168	Partido de Castelli
AR.01.06161	Partido de Carmen de Areco
AR.01.06140	Partido de Capitán Sarmiento
AR.06.18021	Departamento de Capital
AR.14.54028	Departamento de Capital
AR.01.06134	Partido de Canuelas
AR.14.54021	Departamento de Candelaria
AR.01.06126	Partido de Campana
AR.14.54014	Departamento de Cainguás
AR.01.06119	Partido de Brandsen
AR.06.18014	Departamento de Berón de Astrada
AR.03.22014	Departamento de Bermejo
AR.01.06098	Partido de Berisso
AR.01.06091	Partido de Berazategui
AR.06.18007	Departamento de Bella Vista
AR.01.06077	Partido de Arrecifes
AR.01.06070	Partido de Baradero
AR.01.06063	Partido de Balcarce
AR.01.06049	Partido de Azul
AR.01.06042	Partido de Ayacucho
AR.01.06035	Partido de Avellaneda
AR.14.54007	Departamento de Apóstoles
AR.01.06028	Partido de Almirante Brown
AR.18.70133	Departamento de Zonda
AR.15.58112	Departamento de Zapala
AR.10.38112	Departamento de Yaví
AR.01.06875	Partido de Villarino
AR.08.30105	Departamento de Victoria
AR.21.82133	Departamento de Vera
AR.12.46056	Departamento de General Angel Peñaloza
AR.01.06854	Partido de Veinticinco de Mayo
AR.16.62091	Departamento de Veinticinco de Mayo
AR.18.70126	Departamento de Veinticinco de Mayo
AR.02.10112	Departamento de Valle Viejo
AR.10.38105	Departamento de Valle Grande
AR.18.70119	Departamento de Valle Fértil
AR.16.62084	Departamento de Valcheta
AR.11.42154	Departamento de Utracán
AR.23.94014	Departamento de Ushuaia
AR.05.14182	Departamento de Unión
AR.13.50126	Departamento de Tupungato
AR.13.50119	Departamento de Tunuyán
AR.10.38098	Departamento de Tumbaya
AR.05.14175	Departamento de Tulumba
AR.01.06833	Partido de Tres Arroyos
AR.01.06826	Partido de Trenque Lauquen
AR.11.42147	Departamento de Trenel
AR.24.90112	Departamento de Trancas
AR.05.14168	Departamento de Totoral
AR.01.06819	Partido de Tornquist
AR.11.42140	Departamento de Toay
AR.02.10105	Departamento de Tinogasta
AR.10.38094	Departamento de Tilcara
AR.05.14161	Departamento de Tercero Arriba
AR.04.26105	Departamento de Telsen
AR.04.26098	Departamento de Tehuelches
AR.01.06798	Partido de Tapalqué
AR.10.38084	Departamento de Susques
AR.05.14154	Departamento de Sobremonte
AR.22.86189	Departamento de Silípica
AR.04.26091	Departamento de Sarmiento
AR.18.70105	Departamento de Sarmiento
AR.22.86182	Departamento de Sarmiento
AR.17.66161	Departamento de Santa Victoria
AR.13.50112	Departamento de Santa Rosa
AR.02.10098	Departamento de Santa Rosa
AR.05.14147	Departamento de Santa María
AR.02.10091	Departamento de Santa María
AR.18.70098	Departamento de Santa Lucía
AR.10.38077	Departamento de Santa Catalina
AR.10.38070	Departamento de Santa Bárbara
AR.23.94007	Departamento de Río Grande
AR.13.50105	Departamento de San Rafael
AR.10.38063	Departamento de San Pedro
AR.01.06763	Partido de San Nicolás
AR.13.50098	Departamento de San Martín
AR.19.74063	Departamento de Libertador General San Martín
AR.21.82126	Departamento de San Martín
AR.18.70091	Departamento de San Martín
AR.22.86175	Departamento de San Martín
AR.03.22147	Departamento de San Lorenzo
AR.21.82119	Departamento de San Lorenzo
AR.05.14140	Departamento de San Justo
AR.21.82112	Departamento de San Justo
AR.21.82105	San Jerónimo Department
AR.05.14133	Departamento de San Javier
AR.21.82091	Departamento de San Cristóbal
AR.13.50091	Departamento de San Carlos
AR.17.66154	Departamento de San Carlos
AR.12.46119	Departamento de San Blas de los Sauces
AR.16.62077	Departamento de San Antonio
AR.10.38056	Departamento de San Antonio
AR.05.14126	Departamento de San Alberto
AR.12.46126	Departamento de Sanagasta
AR.01.06714	Partido de Salto
AR.01.06721	Partido de Salliqueló
AR.22.86168	Departamento de Salavina
AR.01.06700	Partido de Saavedra
AR.17.66147	Departamento de Rosario de Lerma
AR.17.66140	Departamento de Rosario de la Frontera
AR.21.82084	Rosario Department
AR.01.06686	Partido de Rojas
AR.22.86161	Departamento de Robles
AR.01.06679	Partido de Rivadavia
AR.12.46070	Departamento de General Juan F. Quiroga
AR.18.70084	Departamento de Rivadavia
AR.13.50084	Departamento de Rivadavia
AR.22.86154	Departamento de Rivadavia
AR.17.66133	Departamento de Rivadavia
AR.04.26084	Departamento de Río Senguerr
AR.05.14119	Departamento de Río Segundo
AR.05.14112	Departamento de Río Seco
AR.05.14105	Departamento de Río Primero
AR.22.86147	Departamento de Río Hondo
AR.05.14098	Departamento de Río Cuarto
AR.20.78049	Departamento de Río Chico
AR.24.90077	Departamento de Río Chico
AR.10.38049	Departamento de Rinconada
AR.11.42133	Departamento de Realicó
AR.04.26077	Departamento de Rawson
AR.18.70077	Departamento de Rawson
AR.11.42126	Departamento de Rancul
AR.09.34063	Departamento de Ramón Lista
AR.01.06665	Partido de Ramallo
AR.03.22133	Departamento de Quitilipi
AR.11.42119	Departamento de Quemú Quemú
AR.22.86140	Departamento de Quebrachos
AR.05.14091	Departamento de Punilla
AR.11.42112	Departamento de Puelén
AR.01.06651	Partido de Puan
AR.19.74021	Coronel Pringles
AR.05.14084	Departamento de Presidente Roque Sáenz Peña
AR.02.10084	Departamento de Pomán
AR.18.70070	Departamento de Pocito
AR.05.14077	Departamento de Pocho
AR.16.62070	Departamento de Pilcaniyeu
AR.15.58098	Departamento de Picún Leufú
AR.15.58105	Departamento de Picunches
AR.16.62063	Departamento de Pichi Mahuida
AR.01.06623	Partido de Pergamino
AR.01.06616	Partido de Pellegrini
AR.22.86133	Departamento de Pellegrini
AR.15.58091	Departamento de Pehuenches
AR.01.06609	Partido de Pehuajó
AR.01.06602	Partido de Patagones
AR.04.26070	Departamento de Paso de Indios
AR.02.10077	Departamento de Paclín
AR.17.66126	Departamento de Orán
AR.01.06595	Partido de Olavarría
AR.22.86126	Departamento de Ojo de Agua
AR.03.22112	Departamento de O’Higgins
AR.01.06588	Partido de Nueve de Julio
AR.03.22105	Departamento de Nueve de Julio
AR.16.62049	Departamento de Nueve de Julio
AR.18.70063	Departamento de Nueve de Julio
AR.21.82077	Departamento de Nueve de Julio
AR.16.62056	Departamento de Ñorquincó
AR.15.58084	Departamento de Ñorquín
AR.22.86119	Departamento de Moreno
AR.24.90070	Departamento de Monteros
AR.17.66119	Departamento de Molinos
AR.22.86112	Departamento de Mitre
AR.15.58077	Departamento de Minas
AR.05.14070	Departamento de Minas
AR.17.66112	Departamento de Metán
AR.03.22098	Departamento de Mayor Luis J. Fontana
AR.22.86098	Departamento de Juan F. Ibarra
AR.09.34028	Departamento de Matacos
AR.04.26063	Departamento de Mártires
AR.05.14063	Departamento de Marcos Juárez
AR.11.42105	Departamento de Maracó
AR.13.50077	Departamento de Malargüe
AR.03.22091	Departamento de Maipú
AR.13.50070	Departamento de Maipú
AR.20.78042	Departamento de Magallanes
AR.13.50063	Departamento de Luján
AR.15.58070	Departamento de Los Lagos
AR.17.66105	Departamento de Los Andes
AR.15.58063	Departamento de Loncopué
AR.01.06469	Partido de Lincoln
AR.11.42091	Departamento de Limay Mahuida
AR.11.42084	Departamento de Lihuel-Calel
AR.11.42098	Departamento de Loventué
AR.10.38035	Departamento de Ledesma
AR.01.06462	Partido de Leandro N. Alem
AR.24.90056	Departamento de Leales
AR.17.66098	Departamento de La Viña
AR.13.50056	Departamento de Lavalle
AR.13.50049	Departamento de Las Heras
AR.21.82070	Las Colonias Department
AR.01.06448	Partido de Laprida
AR.17.66091	Departamento de La Poma
AR.13.50042	Departamento de La Paz
AR.02.10070	Departamento de La Paz
AR.04.26056	Departamento de Languiñeo
AR.20.78035	Departamento de Lago Buenos Aires
AR.20.78028	Departamento de Lago Argentino
AR.15.58056	Departamento de Lácar
